id, tasks, dayone, daytwo, daythree, dayfour, dayfive, daysix, dayseven, dayeight, daynine, dayten
\vspace{-0.8cm}
% 24, 	25,	26,	27, 28,	31, 	1, 	2, 	3, 	4

x\cellcolor{lightgray},																\textbf{Planning}\cellcolor{lightgray},																	 \textbf{12}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{6}\cellcolor{lightgray},														\textbf{12}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray}

x\cellcolor{lightgray},																\textbf{Meetings}\cellcolor{lightgray},														 \textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{6}\cellcolor{lightgray},														\textbf{6}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray},														\textbf{0}\cellcolor{lightgray}


88\cellcolor{lightgray}, \textbf{The user wants icons}\cellcolor{lightgray}, 			\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{5}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{1}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}
,create icons, 0, 0,0, 0,0 ,1 ,0 , 1, 0, 0
,invert and fix size,0, 0,0, 0,0 ,4 ,0 , 0, 0, 0


89\cellcolor{lightgray}, \textbf{Concept profile tab}\cellcolor{lightgray}, 			\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{5}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{2}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{3}\cellcolor{lightgray}, 	\textbf{4}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}
,Implement the profile GUI,0,0,0,0,0,2,0,3,4,0
,Facebook auth look better,0,0,5,0,0,0,0,0,0,0

90\cellcolor{lightgray}, \textbf{Concept device tab}\cellcolor{lightgray}, 			\textbf{1.5}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{11}\cellcolor{lightgray}, 	\textbf{0.5}\cellcolor{lightgray}, 	\textbf{1}\cellcolor{lightgray}, 	\textbf{3}\cellcolor{lightgray}, 	\textbf{0.75}\cellcolor{lightgray}, 	\textbf{8}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}
,bug fixes,0,0,0,0,0,0,0,5,0,0
,research,0,0,0,0,0,0,0,2,0,0
,add the data we want to show in the dropdown datafield,0,0,1,0,0,0,0,0,0,0
,change the devicelist to use expandablelist,0,0,2,0.5,1,0,0,0,0,0
,add hamburger with the right values,1.5,0,5,0,0,0,0,0,0,0
,make the deviceModel have categoryfield,0,0,3,0,0,0,0,0,0,0
,make the list be sorted by categories,0,0,0,0,0,3,0.75,1,0,0


92\cellcolor{lightgray}, \textbf{Concept social tab}\cellcolor{lightgray}, 			\textbf{5}\cellcolor{lightgray}, 	\textbf{2.5}\cellcolor{lightgray}, 	\textbf{6.5}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{2}\cellcolor{lightgray}, 	\textbf{0.5}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}
, implement social GUI, 5, 2.5, 6.5, 0, 0, 0, 2, 0.5, 0, 0

93\cellcolor{lightgray}, \textbf{Concept usage tab}\cellcolor{lightgray}, 			\textbf{4}\cellcolor{lightgray}, 	\textbf{5}\cellcolor{lightgray}, 	\textbf{9.5}\cellcolor{lightgray}, 	\textbf{1}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{2}\cellcolor{lightgray}, 	\textbf{2}\cellcolor{lightgray}, 	\textbf{13}\cellcolor{lightgray}, 	\textbf{2}\cellcolor{lightgray}, 	\textbf{7}\cellcolor{lightgray}
,Save state on activity swap, 0, 5,0, 0,0 ,0 ,0 , 0, 0,0
,Make the graph bether with manually added points, 0, 0,2, 0,0 ,0 ,0 , 4, 0,0
,tabs, 0, 0,1, 0,0 ,0 ,0 , 0, 0,0
,Database date query needs to filter on selected devices, 2, 0,0.5, 0,0 ,0 ,0 , 0, 0,0
,Fragment state behavior, 2, 0,6, 1,0 ,0 ,0 , 0, 0,0
,Implement time selection in the pie graph, 0, 0,0, 0,0 ,2 ,0 , 4, 0,0
,Implement zoom in the pie chart, 0, 0,0, 0,0 ,0 ,0 , 3, 0,1
,Get a picture of the graph view, 0, 0,0, 0,0 ,0 ,0 , 0, 0,3
,Fix manual usage adding, 0, 0,0, 0,0 ,0 ,0 , 0, 2,1
,Resolution handling rewrite, 0, 0,0, 0,0 ,0 ,0 , 2, 0,0
,Graph edge case fixing, 0, 0,0, 0,0 ,0 ,2 , 0, 0,1
,Pie chart cleanup, 0, 0,0, 0,0 ,0 ,0 , 0, 0,1



94\cellcolor{lightgray}, \textbf{Administration}\cellcolor{lightgray}, 			\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{1.75}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{1.1}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{1}\cellcolor{lightgray}
,mail correspondance, 0, 0,0.25, 0,0 ,0 ,0 , 1.1, 0, 0
,scrum-master tasks,0, 0,0, 0,0 ,0 ,0 , 0, 0, 0
,status report,0, 0,1.5, 0,0 ,0 ,0 , 0, 0, 1

95\cellcolor{lightgray}, \textbf{User testing}\cellcolor{lightgray}, 			\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0.5}\cellcolor{lightgray}
,write user stories for user tests, 0, 0,0, 0,0 ,0 ,0 , 0, 0, 0.5


97\cellcolor{lightgray}, \textbf{The user can get tips}\cellcolor{lightgray}, 			\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{5}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}
,ratings are shown and updated throughout session, 0, 0,5,0, 0,0 ,0 ,0 , 0, 0

98\cellcolor{lightgray}, \textbf{The user wants to be social}\cellcolor{lightgray}, 			\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{4.5}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}
,Look into facebook api for posts and photos, 0, 0,4.5, 0,0 ,0 ,0 , 0, 0, 0

100\cellcolor{lightgray}, \textbf{Restructure the menu}\cellcolor{lightgray}, 			\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{5.5}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}
,update the menu with new look and items, 0, 0,0, 0,0 ,0 ,0 , 5.5, 0, 0

% 24, 	25,	26,	27, 28,	31, 	1, 	2, 	3, 	4
117\cellcolor{lightgray}, \textbf{Final version of report}\cellcolor{lightgray}, 				\textbf{24}\cellcolor{lightgray}, 	\textbf{3}\cellcolor{lightgray}, 	\textbf{2}\cellcolor{lightgray}, 	\textbf{1}\cellcolor{lightgray}, 	\textbf{6.5}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{40.5}\cellcolor{lightgray}
,add review of main responsibility, 0,0, 0, 0, 0, 0, 0,0, 0,0.5
, look through previous reports, 0,0, 0, 0, 0, 0, 0,0, 0,40 
, review requirements, 8, 0, 0, 0, 6, 0, 0, 0, 0, 0
, fix burndown charts, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0
, read example reports, 3.5, 3, 2, 1, 0, 0, 0, 0, 0, 0
, discuss report changes, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0
, restructure report based on other reports, 4.5, 0, 0, 0, 0, 0, 0, 0, 0, 0
,SUM,46.5,10.5,45.25,3,13.5,24.25,5.25,38.6,12, 48.5

